Component,File,Role,Methods,D1_Insumos,D2_Actividades,D3_Productos,D4_Resultados,D5_Impactos,D6_Causalidad,MICRO,MESO,MACRO,Primary_Interactions,Secondary_Interactions,Cross_Validation_With
PDETMunicipalPlanAnalyzer,financiero_viabilidad_tablas.py,producer,65,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,YES,YES,YES,"extract_tables,analyze_financial_feasibility,construct_causal_dag,identify_responsible_entities,estimate_causal_effects","sensitivity_analysis,generate_counterfactuals,calculate_quality_score","TeoriaCambio,CausalExtractor,FinancialAuditor"
SemanticAnalyzer,Analyzer_one.py,producer,34,HIGH,HIGH,HIGH,HIGH,LOW,MEDIUM,YES,YES,YES,"extract_semantic_cube,_classify_value_chain_link,_classify_policy_domain","_calculate_semantic_complexity,_vectorize_segments","PolicyAnalysisEmbedder"
PolicyContradictionDetector,contradiction_deteccion.py,producer,62,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,HIGH,YES,YES,YES,"detect,_detect_semantic_contradictions,_detect_numerical_inconsistencies,_detect_temporal_conflicts,_calculate_coherence_metrics","_calculate_global_semantic_coherence,_calculate_graph_fragmentation,_generate_resolution_recommendations","TemporalLogicVerifier,IndustrialPolicyProcessor"
PolicyAnalysisEmbedder,embedding_policy.py,producer,36,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,YES,YES,YES,"process_document,semantic_search,evaluate_policy_numerical_consistency","_embed_texts,_filter_by_pdq,generate_pdq_report","AdvancedSemanticChunker,BayesianNumericalAnalyzer,SemanticAnalyzer"
TeoriaCambio,teoria_cambio.py,producer,30,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,YES,YES,YES,"construir_grafo_causal,validacion_completa,_validar_orden_causal,_encontrar_caminos_completos","_extraer_categorias,_generar_sugerencias_internas","AdvancedDAGValidator,PDETMunicipalPlanAnalyzer,CausalExtractor"
CDAFFramework,dereck_beach.py,producer,99,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,HIGH,YES,YES,YES,"process_document,extract_causal_hierarchy,infer_mechanisms,trace_financial_allocation,bayesian_counterfactual_audit","classify_goal_dynamics,assign_probative_value,classify_test,apply_test_logic","BayesianMechanismInference,CausalExtractor,FinancialAuditor,OperationalizationAuditor,BeachEvidentialTest"
IndustrialPolicyProcessor,policy_processor.py,producer,32,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,YES,YES,YES,"process,_match_patterns_in_sentences,_compute_evidence_confidence,_extract_point_evidence","_analyze_causal_dimensions,_construct_evidence_bundle","BayesianEvidenceScorer,PolicyTextProcessor,PolicyContradictionDetector"
SemanticProcessor,semantic_chunking_policy.py,preprocessor,15,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,YES,YES,"chunk_text,_detect_pdm_structure,_detect_table,_embed_batch","_detect_numerical_data,embed_single,integrate_evidence","PolicyAnalysisEmbedder,ReportAssembler"
ReportAssembler,report_assembly.py,aggregator,43,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,YES,YES,"generate_micro_answer,generate_meso_cluster,generate_macro_convergence,_apply_scoring_modality,_score_type_a,_score_type_b,_score_type_c,_score_type_d,_score_type_e,_score_type_f","_calculate_confidence,_generate_explanation,_extract_evidence_excerpts,_perform_gap_analysis,_generate_strategic_recommendations","ALL_PRODUCERS"

Method,Source_File,Source_Class,Calls_To,Called_By,Evidence_Type,Scoring_Modality,Dimension_Coverage
extract_tables,financiero_viabilidad_tablas.py,PDETMunicipalPlanAnalyzer,"_clean_dataframe,_classify_tables,_deduplicate_tables,_reconstruct_fragmented_tables","analyze_municipal_plan,ReportAssembler._score_type_e",TABLE_EXTRACTION,TYPE_E,"D1,D3"
analyze_financial_feasibility,financiero_viabilidad_tablas.py,PDETMunicipalPlanAnalyzer,"_extract_financial_amounts,_analyze_funding_sources,_assess_financial_sustainability,_bayesian_risk_inference","analyze_municipal_plan,ReportAssembler._score_type_e",FINANCIAL_ANALYSIS,TYPE_E,"D1,D3"
construct_causal_dag,financiero_viabilidad_tablas.py,PDETMunicipalPlanAnalyzer,"_identify_causal_nodes,_identify_causal_edges,_refine_edge_probabilities,_break_cycles","analyze_municipal_plan,ReportAssembler._score_type_b",CAUSAL_DAG,TYPE_B,"D2,D4,D6"
estimate_causal_effects,financiero_viabilidad_tablas.py,PDETMunicipalPlanAnalyzer,"_estimate_effect_bayesian,_get_prior_effect,_identify_confounders","analyze_municipal_plan,ReportAssembler._score_type_f",CAUSAL_EFFECTS,TYPE_F,"D4,D6"
identify_responsible_entities,financiero_viabilidad_tablas.py,PDETMunicipalPlanAnalyzer,"_extract_entities_ner,_extract_entities_syntax,_extract_from_responsibility_tables,_consolidate_entities","analyze_municipal_plan,ReportAssembler._score_type_d",ENTITY_EXTRACTION,TYPE_D,"D1,D2"
sensitivity_analysis,financiero_viabilidad_tablas.py,PDETMunicipalPlanAnalyzer,"_compute_e_value,_compute_robustness_value,_interpret_sensitivity","analyze_municipal_plan,ReportAssembler._score_type_a",SENSITIVITY_ANALYSIS,TYPE_A,"D4,D5"
extract_semantic_cube,Analyzer_one.py,SemanticAnalyzer,"_empty_semantic_cube,_vectorize_segments,_process_segment,_classify_value_chain_link,_classify_policy_domain","analyze_document,ReportAssembler._score_type_d",SEMANTIC_ANALYSIS,TYPE_D,"D1,D2,D3,D4"
_detect_bottlenecks,Analyzer_one.py,PerformanceAnalyzer,"_calculate_throughput_metrics,_calculate_loss_functions","analyze_performance,ReportAssembler._score_type_a",BOTTLENECK_DETECTION,TYPE_A,"D2,D4"
chunk_text,semantic_chunking_policy.py,SemanticProcessor,"_detect_pdm_structure,_detect_table,_embed_batch","PolicyAnalysisEmbedder.process_document,ReportAssembler._generate_explanation",SEMANTIC_CHUNKING,TYPE_D,"D1,D2,D3,D4,D5,D6"
_detect_pdm_structure,semantic_chunking_policy.py,SemanticProcessor,"","SemanticProcessor.chunk_text",STRUCTURE_DETECTION,TYPE_D,"D1,D2,D3,D4,D5,D6"
_embed_batch,semantic_chunking_policy.py,SemanticProcessor,"","SemanticProcessor.chunk_text",BATCH_EMBEDDING,TYPE_D,"D1,D2,D3,D4,D5,D6"
integrate_evidence,semantic_chunking_policy.py,BayesianEvidenceIntegrator,"_similarity_to_probability,_compute_reliability_weights","ReportAssembler._score_type_f,ReportAssembler._calculate_confidence",BAYESIAN_INTEGRATION,TYPE_F,"D4,D5,D6"
detect,contradiction_deteccion.py,PolicyContradictionDetector,"_extract_policy_statements,_generate_embeddings,_build_knowledge_graph,_detect_semantic_contradictions,_detect_numerical_inconsistencies,_detect_temporal_conflicts,_detect_logical_incompatibilities,_detect_resource_conflicts","main,ReportAssembler._score_type_c",CONTRADICTION_DETECTION,TYPE_C,"D1,D2,D4,D6"
